,precision,recall,f1-score,support
Post-30s,0.7328448476389858,0.6893873085339168,0.7104521366557672,9140.0
Pre-30s,0.7531089659970432,0.7903623254540476,0.7712860705379408,10957.0
accuracy,0.7444394685773996,0.7444394685773996,0.7444394685773996,0.7444394685773996
macro avg,0.7429769068180145,0.7398748169939822,0.740869103596854,20097.0
weighted avg,0.7438929615290807,0.7444394685773996,0.7436191473313396,20097.0
