,precision,recall,f1-score,support
Post-30s,0.5567229776129653,0.886980306345733,0.6840772930554384,9140.0
Pre-30s,0.8133694670280036,0.4108788902071735,0.5459616783895221,10957.0
accuracy,0.6274070756829377,0.6274070756829377,0.6274070756829377,0.6274070756829377
macro avg,0.6850462223204845,0.6489295982764532,0.6150194857224802,20097.0
weighted avg,0.6966481198989072,0.6274070756829377,0.6087758654844355,20097.0
